CL_ATRASO;Nao pago;Pago;% Mau;% Bom;RR;Dif. RR;TOTAL;% Freq;Tx Recuperacao;Dummie
76 - 82;15306;3449;7.37;9.51;1.29;0.42;18755;7.68;18.39;BOM
82 - 97;21308;4482;10.26;12.35;1.20;0.09;25790;10.57;17.38;BOM
97 - 107;19317;3477;9.30;9.58;1.03;0.17;22794;9.34;15.25;BOM
107 - 113;24472;4416;11.78;12.17;1.03;;28888;11.84;15.29;BOM
113 - 128;17234;2957;8.30;8.15;0.98;0.05;20191;8.27;14.65;RUIM
128 - 140;25324;4176;12.19;11.51;0.94;0.04;29500;12.09;14.16;RUIM
140 - 146;20452;3346;9.84;9.22;0.94;0.01;23798;9.75;14.06;RUIM
146 - 161;19799;3220;9.53;8.87;0.93;0.01;23019;9.43;13.99;RUIM
161 - 171;18787;2868;9.04;7.90;0.87;0.06;21655;8.87;13.24;RUIM
171+;25764;3895;12.40;10.73;0.87;0.01;29659;12.15;13.13;RUIM
Total;207763;36286;100.00;100.00;;;244049;100.00;14.87;
;;;;;;;;;;
