CL_UF;Nao pago;Pago;% Mau;% Bom;RR;Dif. RR;TOTAL;% Freq;Tx Recuperacao;Dummie
ac;6100;1156;2.94;3.19;1.09;;7256;2.97;15.93;BOM
al;22;2;0.01;0.01;0.52;0.56;24;0.01;8.33;RUIM
am;70;15;0.03;0.04;1.23;0.71;85;0.03;17.65;BOM
ap;6;0;0.00;0.00;0.00;1.23;6;0.00;0.00;MRUIM
ba;6525;1294;3.14;3.57;1.14;1.14;7819;3.20;16.55;BOM
ce;12;2;0.01;0.01;0.95;0.18;14;0.01;14.29;RUIM
df;27;3;0.01;0.01;0.64;0.32;30;0.01;10.00;RUIM
es;22107;3144;10.64;8.66;0.81;0.18;25251;10.35;12.45;RUIM
go;27643;4238;13.31;11.68;0.88;0.06;31881;13.06;13.29;RUIM
ma;2267;407;1.09;1.12;1.03;0.15;2674;1.10;15.22;BOM
mg;4522;635;2.18;1.75;0.80;0.22;5157;2.11;12.31;RUIM
ms;24805;4083;11.94;11.25;0.94;0.14;28888;11.84;14.13;RUIM
mt;55245;10768;26.59;29.68;1.12;0.17;66013;27.05;16.31;BOM
pa;18538;3073;8.92;8.47;0.95;0.17;21611;8.86;14.22;RUIM
pb;10;2;0.00;0.01;1.15;0.20;12;0.00;16.67;BOM
pe;34;8;0.02;0.02;1.35;0.20;42;0.02;19.05;BOM
pi;18;1;0.01;0.00;0.32;1.03;19;0.01;5.26;MRUIM
pr;950;127;0.46;0.35;0.77;0.45;1077;0.44;11.79;RUIM
rj;62;10;0.03;0.03;0.92;0.16;72;0.03;13.89;RUIM
rn;9;2;0.00;0.01;1.27;0.35;11;0.00;18.18;BOM
ro;17365;3513;8.36;9.68;1.16;0.11;20878;8.55;16.83;BOM
rr;11;5;0.01;0.01;2.60;1.44;16;0.01;31.25;MBOM
rs;27;4;0.01;0.01;0.85;1.75;31;0.01;12.90;RUIM
sc;20;9;0.01;0.02;2.58;1.73;29;0.01;31.03;MBOM
se;19;0;0.01;0.00;0.00;2.58;19;0.01;0.00;MRUIM
sp;3107;357;1.50;0.98;0.66;0.66;3464;1.42;10.31;RUIM
to;18242;3428;8.78;9.45;1.08;0.42;21670;8.88;15.82;BOM
Total;207763;36286;100.00;100.00;;;244049;100.00;14.87;
;;;;;;;;;;
